Symbol,Sector,Industry Group,Industry,Sub-Industry
IPG,Communication Services,Media & Entertainment,Media,Advertising
OMC,Communication Services,Media & Entertainment,Media,Advertising
LUMN,Communication Services,Telecommunication Services,Diversified Telecommunication Services,Alternative Carriers
DISCA,Communication Services,Media & Entertainment,Media,Broadcasting
DISCK,Communication Services,Media & Entertainment,Media,Broadcasting
CHTR,Communication Services,Media & Entertainment,Media,Cable & Satellite
CMCSA,Communication Services,Media & Entertainment,Media,Cable & Satellite
DISH,Communication Services,Media & Entertainment,Media,Cable & Satellite
T,Communication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services
VZ,Communication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services
ATVI,Communication Services,Media & Entertainment,Entertainment,Interactive Home Entertainment
EA,Communication Services,Media & Entertainment,Entertainment,Interactive Home Entertainment
TTWO,Communication Services,Media & Entertainment,Entertainment,Interactive Home Entertainment
GOOGL,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
GOOG,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
FB,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
TWTR,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
FOXA,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
FOX,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
LYV,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
NFLX,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
VIAC,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
DIS,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
NWSA,Communication Services,Media & Entertainment,Media,Publishing
NWS,Communication Services,Media & Entertainment,Media,Publishing
TMUS,Communication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services
GPS,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
LB,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
ROST,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
TJX,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail
HBI,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods"
NKE,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods"
PVH,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods"
RL,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods"
TPR,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods"
UAA,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods"
UA,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods"
VFC,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods"
APTV,Consumer Discretionary,Automobiles & Components,Auto Components,Auto Parts & Equipment
BWA,Consumer Discretionary,Automobiles & Components,Auto Components,Auto Parts & Equipment
F,Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers
GM,Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers
TSLA,Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers
AAP,Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail
LVS,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming
MGM,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming
WYNN,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming
BBY,Consumer Discretionary,Retailing,Specialty Retail,Computer & Electronics Retail
GRMN,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Consumer Electronics
LKQ,Consumer Discretionary,Retailing,Distributors,Distributors
POOL,Consumer Discretionary,Retailing,Distributors,Distributors
DG,Consumer Discretionary,Retailing,Multiline Retail,General Merchandise Stores
DLTR,Consumer Discretionary,Retailing,Multiline Retail,General Merchandise Stores
TGT,Consumer Discretionary,Retailing,Multiline Retail,General Merchandise Stores
LEG,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Home Furnishings
MHK,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Home Furnishings
HD,Consumer Discretionary,Retailing,Specialty Retail,Home Improvement Retail
LOW,Consumer Discretionary,Retailing,Specialty Retail,Home Improvement Retail
DHI,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding
LEN,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding
NVR,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding
PHM,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding
CCL,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
HLT,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
MAR,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
NCLH,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
RCL,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
WHR,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Household Appliances
